n_crashes,avg_total_reward,avg_distance,avg_steps_to_crash,std_total_reward,std_distance,std_steps_to_crash,epoch,step
11.0,21.156208038330078,503.250244140625,15.0,9.257184982299805,177.8452606201172,6.3675312995910645,4,149
13.0,20.845096588134766,519.5963134765625,17.30769157409668,9.954811096191406,231.6678924560547,9.522318840026855,9,299
13.0,18.33823585510254,504.7156677246094,13.384614944458008,9.544239044189453,236.3628387451172,5.916579723358154,14,449
9.0,20.53660011291504,502.25238037109375,10.333333015441895,10.9504976272583,231.06858825683594,5.96284818649292,19,599
8.0,21.148693084716797,531.1195678710938,9.625,10.726727485656738,245.25384521484375,4.68874979019165,24,749
5.0,23.036928176879883,491.17730712890625,3.200000047683716,12.03809642791748,235.32720947265625,0.7483314871788025,29,899
5.0,24.50718879699707,606.1322021484375,10.199999809265137,9.739864349365234,220.38119506835938,8.109253883361816,34,1049
4.0,26.300979614257812,648.3875122070312,13.75,7.007620811462402,150.2779541015625,3.960744857788086,39,1199
1.0,28.56405258178711,586.804931640625,7.0,5.175704002380371,103.80221557617188,0.0,44,1349
3.0,26.796405792236328,675.2278442382812,12.333333015441895,6.77313756942749,157.543212890625,4.189935207366943,49,1499
16.0,19.209476470947266,518.9141845703125,17.6875,7.62562894821167,177.9362335205078,6.151410102844238,54,1649
2.0,26.786930084228516,636.86572265625,2.5,8.441875457763672,197.95811462402344,0.5,59,1799
2.0,28.8137264251709,700.6698608398438,22.0,2.91218638420105,55.44329071044922,4.0,64,1949
1.0,29.500324249267578,599.2344360351562,26.0,1.1641409397125244,16.342466354370117,0.0,69,2099
4.0,26.687255859375,626.3898315429688,15.5,6.514444351196289,143.39515686035156,4.609772205352783,74,2249
3.0,26.45425033569336,627.0065307617188,8.666666984558105,7.9696245193481445,176.8183135986328,1.699673056602478,79,2399
8.0,21.53431510925293,526.6458129882812,10.5,10.222461700439453,228.82675170898438,3.8078866004943848,84,2549
0.0,29.493793487548828,763.2899780273438,0.0,0.07890583574771881,37.860633850097656,0.0,89,2699
1.0,28.36960792541504,586.8528442382812,3.0,6.051019191741943,118.88787078857422,0.0,94,2849
1.0,29.1336612701416,686.9348754882812,21.0,2.1556951999664307,50.077789306640625,0.0,99,2999
3.0,27.19967269897461,637.3676147460938,14.333333015441895,7.335285186767578,175.99656677246094,11.440669059753418,104,3149
5.0,23.81241798400879,525.9364013671875,7.599999904632568,10.240439414978027,206.1601104736328,4.673328399658203,109,3299
4.0,26.314050674438477,576.9529418945312,12.75,8.210132598876953,158.8251495361328,8.407586097717285,114,3449
0.0,29.8653621673584,637.5145263671875,0.0,0.1298566311597824,21.44048309326172,0.0,119,3599
1.0,29.425487518310547,620.7240600585938,26.0,1.0512008666992188,22.88217544555664,0.0,124,3749
1.0,28.690521240234375,601.3826904296875,7.0,5.211004734039307,100.64630126953125,0.0,129,3899
0.0,29.945749282836914,662.0027465820312,0.0,0.07319386303424835,65.91217803955078,0.0,134,4049
3.0,25.830066680908203,554.4708862304688,3.6666667461395264,9.761642456054688,197.07040405273438,1.6996731758117676,139,4199
